createdAt;orderId;fulfillmentId;type;channel;location;sku;treatmentQuantity;acquisitionType;stockType;reason;treatmentType;totalOrPartial;registeredAt;situation
2026-02-18T02:59:45.000Z;1611552211432;02;SHIPMENT;lancaperfume;LP PORTO ALEGRE IGUATEMI;502RG001143-A2222P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-20T16:40:38.000Z;processed
2026-02-18T02:59:45.000Z;1611552211432;02;SHIPMENT;lancaperfume;LP PORTO ALEGRE IGUATEMI;502TS005319-A0003M;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-20T16:40:38.000Z;processed
2026-02-18T02:59:45.000Z;1611552211432;02;SHIPMENT;lancaperfume;LP PORTO ALEGRE IGUATEMI;502VE011957-A3711P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-20T16:40:38.000Z;processed
2026-02-17T11:00:31.000Z;1611392210472;01;SHIPMENT;lancaperfume;LP PORTO ALEGRE IGUATEMI;501CL000129-A0004M;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-20T16:41:41.000Z;processed
2026-02-17T11:00:31.000Z;1611392210472;01;SHIPMENT;lancaperfume;LP PORTO ALEGRE IGUATEMI;502KT000116-A0005M;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-20T16:41:41.000Z;processed
2026-02-18T14:25:07.000Z;1611662211658;01;SHIPMENT;lancaperfume;LP RECIFE RIO MAR;502TS005212-A3288P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-20T16:47:49.000Z;processed
2026-02-18T14:25:07.000Z;1611662211658;01;SHIPMENT;lancaperfume;LP RECIFE RIO MAR;502TS005257-A3521P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-20T16:47:49.000Z;processed
2026-02-18T14:25:07.000Z;1611662211658;01;SHIPMENT;lancaperfume;LP RECIFE RIO MAR;502TS005306-A0001P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-20T16:47:49.000Z;processed
2026-02-18T14:25:07.000Z;1611662211658;01;SHIPMENT;lancaperfume;LP RECIFE RIO MAR;502TS005322-A0001P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-20T16:47:49.000Z;processed
2026-02-18T14:25:07.000Z;1611662211658;01;SHIPMENT;lancaperfume;LP RECIFE RIO MAR;502TS005325-A3939P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-20T16:47:49.000Z;processed
2026-02-18T14:25:07.000Z;1611662211658;01;SHIPMENT;lancaperfume;LP RECIFE RIO MAR;502TS005370-A3790P;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-20T16:47:49.000Z;processed
2026-02-18T14:25:07.000Z;1611662211658;01;SHIPMENT;lancaperfume;LP RECIFE RIO MAR;502TS005386-A3693P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-20T16:47:49.000Z;processed
2026-02-18T17:06:56.000Z;1611692211870;02;SHIPMENT;lancaperfume;LP RECIFE RIO MAR;502BL009283-A3756P;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-20T16:49:08.000Z;processed
2026-02-18T17:06:56.000Z;1611692211870;02;SHIPMENT;lancaperfume;LP RECIFE RIO MAR;502CF003226-A3756P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-20T16:49:08.000Z;processed
2026-02-18T17:06:56.000Z;1611692211870;02;SHIPMENT;lancaperfume;LP RECIFE RIO MAR;502CF003283-A3541P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-20T16:49:08.000Z;processed
2026-02-20T14:22:19.000Z;1612142214350;02;SHIPMENT;lancaperfume;LP RIO DE JANEIRO BARRA;502VE012526-A3878G;1;PURCHASE;PHYSICAL;BEFORE_SOLD;STOCKOUT;total;2026-02-20T19:30:37.000Z;processed
2026-02-09T13:13:11.000Z;1609492202689;01;SHIPMENT;lancaperfume;LP RECIFE RIO MAR;502VE011829-A3397M;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-20T20:03:26.000Z;processed
2026-02-09T21:11:54.000Z;1609572203153;02;SHIPMENT;lancaperfume;LP RECIFE RIO MAR;502TS005214-A0001PP;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-20T20:05:01.000Z;processed
